class,group,mean_acc_drop,std_acc_drop
bulk_export,scalars,-0.13046964490263457,0.0036159665790754963
bulk_export,freq,-0.1308705612829324,0.0032246708500021076
bulk_export,seq,-0.06277205040091638,0.004699940031827851
bulk_export,trans,-0.13127147766323022,0.0031086521752833594
bulk_export,ctx,-0.09180985108820161,0.0034866509175771753
normal,scalars,0.00011454753722794919,0.00014029150875046788
normal,freq,0.0006300114547537206,0.0005552897889365764
normal,seq,0.2083046964490264,0.004756137340670474
normal,trans,0.0357388316151203,0.005455758627312682
normal,ctx,0.001546391752577314,0.0006920415792436729
project_scan,scalars,-0.0009736540664375681,0.00029204006377965444
project_scan,freq,-0.024684994272623162,0.004272177823361157
project_scan,seq,-0.03871706758304698,0.002928252699006732
project_scan,trans,-0.09862542955326459,0.0013864511382485865
project_scan,ctx,-0.001546391752577314,0.0006168573662238815
source_copy,scalars,5.7273768613974596e-05,0.00011454753722794919
source_copy,freq,-0.09925544100801831,0.0033474545695767253
source_copy,seq,-0.07892325315005722,0.005008099023756952
source_copy,trans,-0.09799541809851087,0.005878309082850014
source_copy,ctx,-0.07972508591065286,0.004519187066341075
