group,sum_importance,pct_of_total,n_features
seq,0.6452234787840596,0.6452234787840596,429
trans,0.20274887179786683,0.20274887179786683,117
ctx,0.0999471652556097,0.0999471652556097,8
freq,0.04844224846982721,0.04844224846982721,20
scalars,0.0036382356926367163,0.0036382356926367163,3
