group,sum_importance,pct_of_total,n_features
seq,0.47885750461453463,0.47885750461453463,309
trans,0.2853953576298835,0.2853953576298835,95
ctx,0.1304267826720365,0.1304267826720365,8
freq,0.058627580473295936,0.058627580473295936,21
scalars,0.046692774610249455,0.046692774610249455,3
