mode,train_fraction,seed,n_train_sessions,n_train_chunks,session_accuracy,session_fpr
ctx,0.3,3,16,280,1.0,0.0
ctx,0.3,4,16,274,1.0,0.0
ctx,0.5,0,28,498,1.0,0.0
ctx,0.5,1,28,491,1.0,0.0
ctx,0.5,2,28,490,1.0,0.0
ctx,0.5,3,28,488,1.0,0.0
ctx,0.5,4,28,490,1.0,0.0
ctx,0.7,0,38,672,1.0,0.0
ctx,0.7,1,38,665,1.0,0.0
ctx,0.7,2,38,664,1.0,0.0
ctx,0.7,3,38,665,1.0,0.0
ctx,0.7,4,38,663,1.0,0.0
ctx,1.0,0,56,981,1.0,0.0
fusion,0.1,0,5,91,0.9583333333333334,0.0
fusion,0.1,1,5,87,1.0,0.0
fusion,0.1,2,5,89,0.9583333333333334,0.16666666666666666
fusion,0.1,3,5,87,1.0,0.0
fusion,0.1,4,5,87,1.0,0.0
fusion,0.2,0,10,178,1.0,0.0
fusion,0.2,1,10,177,1.0,0.0
fusion,0.2,2,10,178,1.0,0.0
fusion,0.2,3,10,176,1.0,0.0
fusion,0.2,4,10,172,1.0,0.0
fusion,0.3,0,16,282,1.0,0.0
fusion,0.3,1,16,279,1.0,0.0
fusion,0.3,2,16,282,1.0,0.0
fusion,0.3,3,16,280,1.0,0.0
fusion,0.3,4,16,274,1.0,0.0
fusion,0.5,0,28,498,1.0,0.0
fusion,0.5,1,28,491,1.0,0.0
fusion,0.5,2,28,490,1.0,0.0
fusion,0.5,3,28,488,1.0,0.0
fusion,0.5,4,28,490,1.0,0.0
fusion,0.7,0,38,672,1.0,0.0
fusion,0.7,1,38,665,1.0,0.0
fusion,0.7,2,38,664,1.0,0.0
fusion,0.7,3,38,665,1.0,0.0
fusion,0.7,4,38,663,1.0,0.0
fusion,1.0,0,56,981,1.0,0.0
