mode,acc_mean,acc_std,f1_mean,f1_std
ctx,0.9875,0.05590169943749475,0.9833333333333334,0.07453559924999299
freq,0.9875,0.05590169943749475,0.9833333333333334,0.07453559924999299
fusion,0.9875,0.05590169943749475,0.9833333333333334,0.07453559924999299
scalars,0.95,0.10259783520851541,0.9333333333333333,0.13679711361135385
seq,0.9875,0.05590169943749475,0.9833333333333334,0.07453559924999299
trans,0.9875,0.05590169943749475,0.9833333333333334,0.07453559924999299
