mode,n_features,chunk_accuracy,chunk_precision,chunk_recall,chunk_f1,chunk_fpr,chunk_tp,chunk_tn,chunk_fp,chunk_fn,session_accuracy,session_precision,session_recall,session_f1,session_fpr,session_tp,session_tn,session_fp,session_fn,recall_bulk_export,recall_project_scan,recall_source_copy
scalars,3,0.9521531100478469,0.9596273291925466,0.9778481012658228,0.9686520376175548,0.12745098039215685,309,89,13,7,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9313725490196079,1.0,1.0
freq,21,0.937799043062201,0.9801324503311258,0.9367088607594937,0.9579288025889967,0.058823529411764705,296,96,6,20,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.8823529411764706,0.9495798319327731,0.9789473684210527
seq,309,0.9425837320574163,0.964968152866242,0.9588607594936709,0.9619047619047619,0.10784313725490197,303,91,11,13,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9215686274509803,0.9663865546218487,0.9894736842105263
trans,95,0.9449760765550239,0.9741100323624595,0.9525316455696202,0.9632,0.0784313725490196,301,94,8,15,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9019607843137255,0.9747899159663865,0.9789473684210527
ctx,8,0.9258373205741627,0.9611650485436893,0.939873417721519,0.9504,0.11764705882352941,297,90,12,19,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9215686274509803,0.907563025210084,1.0
fusion,436,0.9521531100478469,0.9805194805194806,0.9556962025316456,0.967948717948718,0.058823529411764705,302,96,6,14,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9117647058823529,0.957983193277311,1.0
