path,events,duration_s,events_per_sec,file_size_kb,bytes_per_sec,mean_duration_us,p95_duration_us,software
kicad_normal_r15.csv,438151,143.523,3052.8,74899.7,534390.0,336.554,23.0,KiCad
kicad_normal_r16.csv,438113,219.9584,1991.8,74922.1,348794.5,514.811,37.0,KiCad
kicad_normal_r17.csv,438690,221.7014,1978.7,75015.1,346481.5,518.564,39.0,KiCad
kicad_normal_r18.csv,437909,226.0256,1937.4,74881.9,339249.3,528.802,37.0,KiCad
kicad_normal_r19.csv,436013,255.8595,1704.1,74603.8,298579.3,601.554,45.0,KiCad
kicad_normal_r2.csv,435332,144.2774,3017.3,72329.5,513354.2,340.508,24.0,KiCad
kicad_normal_r20.csv,437574,236.7041,1848.6,74831.8,323727.9,554.119,39.0,KiCad
kicad_normal_r3.csv,436271,147.3794,2960.2,73329.1,509494.7,347.156,24.0,KiCad
kicad_normal_r4.csv,435948,143.8748,3030.1,73256.6,521389.3,339.014,24.0,KiCad
kicad_normal_r5.csv,438020,148.5684,2948.3,73608.8,507344.4,349.571,25.0,KiCad
kicad_normal_r6.csv,438271,146.6844,2987.9,73637.1,514058.9,343.882,24.0,KiCad
kicad_normal_r7.csv,440543,143.5774,3068.3,73993.1,527721.6,334.986,24.0,KiCad
kicad_normal_r8.csv,439315,145.3951,3021.5,73797.9,519750.0,339.906,24.0,KiCad
kicad_normal_r9.csv,439009,155.8877,2816.2,73763.6,484540.7,364.863,26.0,KiCad
kicad_project_scan_r1.csv,146079,60.328,2421.4,23198.0,393759.1,420.399,23.0,KiCad
kicad_project_scan_r10.csv,145340,59.3199,2450.1,23797.1,410793.1,414.599,22.0,KiCad
kicad_project_scan_r11.csv,146303,60.452,2420.2,23938.9,405502.2,419.823,23.0,KiCad
kicad_project_scan_r12.csv,143971,59.546,2417.8,23571.4,405353.1,420.084,22.0,KiCad
kicad_project_scan_r13.csv,143713,59.5752,2412.3,23524.4,404346.3,420.988,22.0,KiCad
kicad_project_scan_r14.csv,144799,59.0586,2451.8,23701.9,410961.1,414.463,23.0,KiCad
kicad_project_scan_r15.csv,144930,70.44,2057.5,23728.2,344941.0,493.594,27.0,KiCad
kicad_project_scan_r16.csv,144727,98.9159,1463.1,23700.2,245349.7,693.343,37.0,KiCad
kicad_project_scan_r17.csv,144501,88.4447,1633.8,23670.8,274057.3,622.263,39.0,KiCad
kicad_project_scan_r18.csv,144474,102.2448,1413.0,23670.4,237063.2,719.656,45.0,KiCad
kicad_project_scan_r19.csv,144501,81.1439,1780.8,23659.9,298577.5,569.612,30.0,KiCad
kicad_project_scan_r2.csv,146033,62.7882,2325.8,23294.7,379907.9,437.356,25.0,KiCad
kicad_project_scan_r20.csv,145213,62.4093,2326.8,23771.7,390042.5,436.631,24.0,KiCad
kicad_project_scan_r3.csv,146843,59.2695,2477.5,23598.7,407715.5,410.135,22.0,KiCad
kicad_project_scan_r4.csv,145150,59.0132,2459.6,23333.6,404885.9,412.832,22.0,KiCad
kicad_project_scan_r5.csv,144561,58.5834,2467.6,23238.0,406185.3,411.594,22.0,KiCad
kicad_project_scan_r6.csv,145083,59.1254,2453.8,23322.2,403920.7,413.85,22.0,KiCad
kicad_project_scan_r7.csv,144478,59.4113,2431.8,23229.5,400377.6,417.581,23.0,KiCad
kicad_project_scan_r8.csv,145735,60.9028,2392.9,23427.5,393903.0,424.515,23.0,KiCad
kicad_project_scan_r9.csv,144342,62.8924,2295.1,23487.0,382409.9,442.648,24.0,KiCad
kicad_source_copy_r1.csv,149677,66.0847,2264.9,23787.6,368595.4,452.997,29.0,KiCad
kicad_source_copy_r10.csv,148344,61.6468,2406.4,24300.9,403656.7,426.119,24.0,KiCad
kicad_source_copy_r11.csv,149144,61.0959,2441.1,24424.9,409374.0,420.174,24.0,KiCad
