mode,n_features,session_accuracy,mean_correct_proba,macro_auc_roc,mean_entropy,brier_score,binary_auc_roc,binary_mean_correct_proba
scalars,3,0.9583333333333334,0.5992313109846693,0.9626817073513726,1.2907319514833178,0.32193932198940994,0.9911209766925637,0.8154971464722869
freq,21,1.0,0.6902712495874433,0.9748046355251799,1.016801380955237,0.24145824352826895,0.9923233444321126,0.856568145769188
seq,309,1.0,0.686344104842232,0.9747275606700808,1.007018615002024,0.25121073342083217,0.9943581206067333,0.8471211545552008
trans,95,1.0,0.6889156466378217,0.9768479304995749,1.0160758622839516,0.24502006170779334,0.9940498211863361,0.8523319016999483
ctx,8,1.0,0.738888692255763,0.9855500872974149,0.8715087131511341,0.196455715834033,0.9947743248242693,0.8712067093199356
fusion,436,1.0,0.6942258060162046,0.9831141162191457,1.0103848363868155,0.23533133047967794,0.9943735355777531,0.8498777823935367
