base_session,y_true,n_chunks,n_abnormal,mean_proba,y_pred
1d79968f-a0e3-4335-a06c-5b7924e2cbc3,1,19,19,0.8698165314953754,1
286f5fe1-4549-4a0f-99c2-95b68dbe441f,1,19,19,0.8621917421775411,1
2953e3cf-f844-4a0f-a9a3-7d57e047dfce,1,19,19,0.8722084294592795,1
2c1a077b-4609-4132-bb7f-403d4cac0ee3,1,19,7,0.42542479451503196,0
36756d77-ba17-48c3-97fa-7bbaa2b1d800,1,19,19,0.8712659841930057,1
3f4b4459-6db6-4c28-8554-c32496331b40,1,17,17,0.8717597573294352,1
4eee9119-7107-41ff-99c1-b9b30cca95e5,1,17,16,0.8697746647310868,1
56882fd0-ce16-4676-b1ed-028ab9af9487,1,17,16,0.8718253286347081,1
5c05a130-0f27-468e-9e68-eccf6474c5f3,0,18,0,0.13801049753310063,0
6f6c9ce8-7413-447e-adc7-833237b8eb21,1,18,18,0.8800989012889122,1
7217cdb9-7156-4fda-8a24-6d805d7b9bfb,1,18,18,0.8707191809516623,1
7c965c54-49d0-4ff6-8dc5-a887e0ecc985,1,18,18,0.8957586281710874,1
8ba68777-dddb-430e-bcb5-2ce6415a8d69,0,18,3,0.16409582807349732,0
970909de-20f5-4141-841f-89169c1fac39,1,18,16,0.8285397580708553,1
9cef9630-3a7c-4bf4-aa3d-de3ffd02b08a,1,19,19,0.8723512441511766,1
a7dcd832-24c2-4cf4-bb8c-7d11b081fd74,1,18,17,0.8481679191518849,1
b19574d4-8565-40e5-8321-447614bb9638,1,18,16,0.8004539110240789,1
b9a49a48-d21b-443f-acb6-0f1be319a15a,1,18,18,0.8900583403704473,1
bcb08996-e38e-46d0-9603-100322f52c80,0,18,0,0.138875045375649,0
be33979c-d5d6-42fe-9e31-ffe15843b0e2,0,18,1,0.13927478552777553,0
c00cc488-21fd-4409-8343-bd24af6191e3,1,19,19,0.860549375684522,1
d7286abc-0f16-4aa5-9771-a8eb3c43f3d2,0,18,0,0.1386030468548562,0
e8eb67dd-3323-4026-93ae-75ba2cb8464f,1,18,17,0.8499684853403637,1
fee240ab-c410-4ad0-a109-836d11665c36,0,18,0,0.1379705096171738,0
