group,mean_acc_drop,std_acc_drop
seq,0.2761904761904762,0.012417528390862187
trans,0.08857142857142856,0.014708043058552845
ctx,0.06142857142857143,0.006632565846278128
freq,0.00857142857142854,0.007158712561129931
scalars,0.007619047619047592,0.0017817416127494897
