n_per_class,seed,config,n_features,accuracy
2,0,fusion_full,436,1.0
2,0,fusion_minus_scalars,433,1.0
2,0,fusion_minus_freq,415,1.0
2,0,fusion_minus_seq,127,1.0
2,0,fusion_minus_trans,341,1.0
2,0,fusion_minus_ctx,428,1.0
2,1,fusion_full,436,1.0
2,1,fusion_minus_scalars,433,1.0
2,1,fusion_minus_freq,415,1.0
2,1,fusion_minus_seq,127,1.0
2,1,fusion_minus_trans,341,1.0
2,1,fusion_minus_ctx,428,1.0
2,2,fusion_full,436,1.0
2,2,fusion_minus_scalars,433,1.0
2,2,fusion_minus_freq,415,1.0
2,2,fusion_minus_seq,127,1.0
2,2,fusion_minus_trans,341,1.0
2,2,fusion_minus_ctx,428,1.0
2,3,fusion_full,436,1.0
2,3,fusion_minus_scalars,433,1.0
2,3,fusion_minus_freq,415,1.0
2,3,fusion_minus_seq,127,1.0
2,3,fusion_minus_trans,341,1.0
2,3,fusion_minus_ctx,428,1.0
2,4,fusion_full,436,1.0
2,4,fusion_minus_scalars,433,1.0
2,4,fusion_minus_freq,415,0.9583333333333334
2,4,fusion_minus_seq,127,1.0
2,4,fusion_minus_trans,341,1.0
2,4,fusion_minus_ctx,428,0.9166666666666666
3,0,fusion_full,436,1.0
3,0,fusion_minus_scalars,433,1.0
3,0,fusion_minus_freq,415,1.0
3,0,fusion_minus_seq,127,1.0
3,0,fusion_minus_trans,341,1.0
3,0,fusion_minus_ctx,428,1.0
3,1,fusion_full,436,1.0
3,1,fusion_minus_scalars,433,1.0
3,1,fusion_minus_freq,415,1.0
3,1,fusion_minus_seq,127,1.0
3,1,fusion_minus_trans,341,1.0
3,1,fusion_minus_ctx,428,1.0
3,2,fusion_full,436,1.0
3,2,fusion_minus_scalars,433,1.0
3,2,fusion_minus_freq,415,1.0
3,2,fusion_minus_seq,127,1.0
3,2,fusion_minus_trans,341,1.0
3,2,fusion_minus_ctx,428,1.0
3,3,fusion_full,436,1.0
3,3,fusion_minus_scalars,433,1.0
3,3,fusion_minus_freq,415,1.0
3,3,fusion_minus_seq,127,1.0
3,3,fusion_minus_trans,341,1.0
3,3,fusion_minus_ctx,428,1.0
3,4,fusion_full,436,1.0
3,4,fusion_minus_scalars,433,1.0
3,4,fusion_minus_freq,415,1.0
3,4,fusion_minus_seq,127,1.0
3,4,fusion_minus_trans,341,1.0
3,4,fusion_minus_ctx,428,1.0
5,0,fusion_full,436,1.0
5,0,fusion_minus_scalars,433,1.0
5,0,fusion_minus_freq,415,1.0
5,0,fusion_minus_seq,127,1.0
5,0,fusion_minus_trans,341,1.0
5,0,fusion_minus_ctx,428,1.0
5,1,fusion_full,436,1.0
5,1,fusion_minus_scalars,433,1.0
5,1,fusion_minus_freq,415,1.0
5,1,fusion_minus_seq,127,1.0
5,1,fusion_minus_trans,341,1.0
5,1,fusion_minus_ctx,428,1.0
5,2,fusion_full,436,1.0
5,2,fusion_minus_scalars,433,1.0
5,2,fusion_minus_freq,415,1.0
5,2,fusion_minus_seq,127,1.0
5,2,fusion_minus_trans,341,1.0
5,2,fusion_minus_ctx,428,1.0
5,3,fusion_full,436,1.0
5,3,fusion_minus_scalars,433,1.0
5,3,fusion_minus_freq,415,1.0
5,3,fusion_minus_seq,127,1.0
5,3,fusion_minus_trans,341,1.0
5,3,fusion_minus_ctx,428,1.0
5,4,fusion_full,436,1.0
5,4,fusion_minus_scalars,433,1.0
5,4,fusion_minus_freq,415,1.0
5,4,fusion_minus_seq,127,1.0
5,4,fusion_minus_trans,341,1.0
5,4,fusion_minus_ctx,428,1.0
10,0,fusion_full,436,1.0
10,0,fusion_minus_scalars,433,1.0
10,0,fusion_minus_freq,415,1.0
10,0,fusion_minus_seq,127,1.0
10,0,fusion_minus_trans,341,1.0
10,0,fusion_minus_ctx,428,1.0
10,1,fusion_full,436,1.0
10,1,fusion_minus_scalars,433,1.0
10,1,fusion_minus_freq,415,1.0
10,1,fusion_minus_seq,127,1.0
10,1,fusion_minus_trans,341,1.0
10,1,fusion_minus_ctx,428,1.0
10,2,fusion_full,436,1.0
10,2,fusion_minus_scalars,433,1.0
10,2,fusion_minus_freq,415,1.0
10,2,fusion_minus_seq,127,1.0
10,2,fusion_minus_trans,341,1.0
10,2,fusion_minus_ctx,428,1.0
10,3,fusion_full,436,1.0
10,3,fusion_minus_scalars,433,1.0
10,3,fusion_minus_freq,415,1.0
10,3,fusion_minus_seq,127,1.0
10,3,fusion_minus_trans,341,1.0
10,3,fusion_minus_ctx,428,1.0
10,4,fusion_full,436,1.0
10,4,fusion_minus_scalars,433,1.0
10,4,fusion_minus_freq,415,1.0
10,4,fusion_minus_seq,127,1.0
10,4,fusion_minus_trans,341,1.0
10,4,fusion_minus_ctx,428,1.0
