software,config,noise_level,seed,session_accuracy,macro_f1
freecad,fusion_minus_ctx,0.3,2,0.2916666666666667,0.1748768472906404
freecad,fusion_minus_scalars,0.3,2,0.5416666666666666,0.42857142857142855
freecad,fusion_full,0.3,3,0.5416666666666666,0.470734126984127
freecad,fusion_minus_freq,0.3,3,0.5,0.3612040133779264
freecad,fusion_minus_seq,0.3,3,0.5,0.3612040133779264
freecad,fusion_minus_trans,0.3,3,0.5416666666666666,0.42857142857142855
freecad,fusion_minus_ctx,0.3,3,0.2916666666666667,0.1748768472906404
freecad,fusion_minus_scalars,0.3,3,0.5,0.34285714285714286
freecad,fusion_full,0.3,4,0.6666666666666666,0.5764705882352941
freecad,fusion_minus_freq,0.3,4,0.5833333333333334,0.5113636363636364
freecad,fusion_minus_seq,0.3,4,0.625,0.5892857142857143
freecad,fusion_minus_trans,0.3,4,0.5,0.3612040133779264
freecad,fusion_minus_ctx,0.3,4,0.2916666666666667,0.1748768472906404
freecad,fusion_minus_scalars,0.3,4,0.625,0.5892857142857143
kicad,fusion_full,0.0,0,1.0,1.0
kicad,fusion_minus_freq,0.0,0,1.0,1.0
kicad,fusion_minus_seq,0.0,0,1.0,1.0
kicad,fusion_minus_trans,0.0,0,1.0,1.0
kicad,fusion_minus_ctx,0.0,0,1.0,1.0
kicad,fusion_minus_scalars,0.0,0,1.0,1.0
kicad,fusion_full,0.05,0,0.5833333333333334,0.5113636363636364
kicad,fusion_minus_freq,0.05,0,0.5416666666666666,0.4518633540372671
kicad,fusion_minus_seq,0.05,0,0.5,0.375
kicad,fusion_minus_trans,0.05,0,0.75,0.6666666666666666
kicad,fusion_minus_ctx,0.05,0,0.5,0.375
kicad,fusion_minus_scalars,0.05,0,0.5833333333333334,0.5113636363636364
kicad,fusion_full,0.05,1,0.5416666666666666,0.4518633540372671
kicad,fusion_minus_freq,0.05,1,0.5833333333333334,0.5113636363636364
kicad,fusion_minus_seq,0.05,1,0.5,0.375
kicad,fusion_minus_trans,0.05,1,0.75,0.6666666666666666
kicad,fusion_minus_ctx,0.05,1,0.5,0.375
kicad,fusion_minus_scalars,0.05,1,0.5,0.375
kicad,fusion_full,0.05,2,0.5416666666666666,0.4518633540372671
kicad,fusion_minus_freq,0.05,2,0.5416666666666666,0.4518633540372671
kicad,fusion_minus_seq,0.05,2,0.5,0.375
kicad,fusion_minus_trans,0.05,2,0.75,0.6666666666666666
kicad,fusion_minus_ctx,0.05,2,0.5,0.375
kicad,fusion_minus_scalars,0.05,2,0.5,0.375
kicad,fusion_full,0.05,3,0.5833333333333334,0.5113636363636364
kicad,fusion_minus_freq,0.05,3,0.5,0.375
kicad,fusion_minus_seq,0.05,3,0.5,0.375
kicad,fusion_minus_trans,0.05,3,0.75,0.6666666666666666
kicad,fusion_minus_ctx,0.05,3,0.5,0.375
kicad,fusion_minus_scalars,0.05,3,0.5,0.375
kicad,fusion_full,0.05,4,0.5833333333333334,0.5113636363636364
kicad,fusion_minus_freq,0.05,4,0.5,0.375
kicad,fusion_minus_seq,0.05,4,0.5,0.375
kicad,fusion_minus_trans,0.05,4,0.75,0.6666666666666666
kicad,fusion_minus_ctx,0.05,4,0.5,0.375
kicad,fusion_minus_scalars,0.05,4,0.5,0.375
kicad,fusion_full,0.1,0,0.5,0.375
kicad,fusion_minus_freq,0.1,0,0.5,0.375
kicad,fusion_minus_seq,0.1,0,0.4583333333333333,0.3472727272727273
kicad,fusion_minus_trans,0.1,0,0.75,0.6666666666666666
kicad,fusion_minus_ctx,0.1,0,0.3333333333333333,0.23214285714285715
kicad,fusion_minus_scalars,0.1,0,0.5,0.375
kicad,fusion_full,0.1,1,0.5,0.375
kicad,fusion_minus_freq,0.1,1,0.5,0.375
kicad,fusion_minus_seq,0.1,1,0.5,0.375
kicad,fusion_minus_trans,0.1,1,0.75,0.6572398190045249
kicad,fusion_minus_ctx,0.1,1,0.375,0.2777777777777778
kicad,fusion_minus_scalars,0.1,1,0.5,0.375
kicad,fusion_full,0.1,2,0.5,0.375
kicad,fusion_minus_freq,0.1,2,0.5,0.375
kicad,fusion_minus_seq,0.1,2,0.5,0.375
kicad,fusion_minus_trans,0.1,2,0.75,0.6666666666666666
kicad,fusion_minus_ctx,0.1,2,0.3333333333333333,0.23214285714285715
kicad,fusion_minus_scalars,0.1,2,0.5,0.375
kicad,fusion_full,0.1,3,0.5,0.375
kicad,fusion_minus_freq,0.1,3,0.5,0.375
kicad,fusion_minus_seq,0.1,3,0.5,0.375
kicad,fusion_minus_trans,0.1,3,0.75,0.6572398190045249
kicad,fusion_minus_ctx,0.1,3,0.4166666666666667,0.3153846153846154
kicad,fusion_minus_scalars,0.1,3,0.5,0.375
kicad,fusion_full,0.1,4,0.5,0.375
kicad,fusion_minus_freq,0.1,4,0.5,0.375
kicad,fusion_minus_seq,0.1,4,0.5,0.375
kicad,fusion_minus_trans,0.1,4,0.75,0.6572398190045249
kicad,fusion_minus_ctx,0.1,4,0.375,0.2777777777777778
kicad,fusion_minus_scalars,0.1,4,0.5,0.375
kicad,fusion_full,0.3,0,0.25,0.1
kicad,fusion_minus_freq,0.3,0,0.25,0.1
