chunk_size,mode,K,events_observed,session_accuracy,session_fpr,detection_rate,n_sessions,n_anom_sessions
1000,scalars,3,3000,1.0,0.0,1.0,24,18
1000,scalars,5,5000,1.0,0.0,1.0,24,18
1000,scalars,8,8000,1.0,0.0,1.0,24,18
1000,scalars,10,10000,1.0,0.0,1.0,24,18
1000,scalars,15,15000,1.0,0.0,1.0,24,18
1000,scalars,20,20000,1.0,0.0,1.0,24,18
1000,freq,1,1000,0.875,0.5,1.0,24,18
1000,freq,2,2000,0.875,0.5,1.0,24,18
1000,freq,3,3000,0.9166666666666666,0.3333333333333333,1.0,24,18
1000,freq,5,5000,1.0,0.0,1.0,24,18
1000,freq,8,8000,1.0,0.0,1.0,24,18
1000,freq,10,10000,1.0,0.0,1.0,24,18
1000,freq,15,15000,1.0,0.0,1.0,24,18
1000,freq,20,20000,1.0,0.0,1.0,24,18
1000,seq,1,1000,0.9166666666666666,0.3333333333333333,1.0,24,18
1000,seq,2,2000,0.9166666666666666,0.3333333333333333,1.0,24,18
1000,seq,3,3000,0.9166666666666666,0.3333333333333333,1.0,24,18
1000,seq,5,5000,1.0,0.0,1.0,24,18
1000,seq,8,8000,1.0,0.0,1.0,24,18
1000,seq,10,10000,1.0,0.0,1.0,24,18
1000,seq,15,15000,1.0,0.0,1.0,24,18
1000,seq,20,20000,1.0,0.0,1.0,24,18
1000,trans,1,1000,0.875,0.5,1.0,24,18
1000,trans,2,2000,0.875,0.5,1.0,24,18
1000,trans,3,3000,0.9166666666666666,0.3333333333333333,1.0,24,18
1000,trans,5,5000,1.0,0.0,1.0,24,18
1000,trans,8,8000,1.0,0.0,1.0,24,18
1000,trans,10,10000,1.0,0.0,1.0,24,18
1000,trans,15,15000,1.0,0.0,1.0,24,18
1000,trans,20,20000,1.0,0.0,1.0,24,18
1000,ctx,1,1000,0.875,0.5,1.0,24,18
1000,ctx,2,2000,0.875,0.5,1.0,24,18
1000,ctx,3,3000,1.0,0.0,1.0,24,18
1000,ctx,5,5000,1.0,0.0,1.0,24,18
1000,ctx,8,8000,1.0,0.0,1.0,24,18
1000,ctx,10,10000,1.0,0.0,1.0,24,18
1000,ctx,15,15000,1.0,0.0,1.0,24,18
1000,ctx,20,20000,1.0,0.0,1.0,24,18
1000,fusion,1,1000,0.9166666666666666,0.3333333333333333,1.0,24,18
1000,fusion,2,2000,0.9166666666666666,0.3333333333333333,1.0,24,18
1000,fusion,3,3000,0.9166666666666666,0.3333333333333333,1.0,24,18
1000,fusion,5,5000,1.0,0.0,1.0,24,18
1000,fusion,8,8000,1.0,0.0,1.0,24,18
1000,fusion,10,10000,1.0,0.0,1.0,24,18
1000,fusion,15,15000,1.0,0.0,1.0,24,18
1000,fusion,20,20000,1.0,0.0,1.0,24,18
