mode,noise_level,seed,session_accuracy,macro_f1,recall_bulk_export,recall_normal,recall_project_scan,recall_source_copy
fusion,0.2,2,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.2,3,0.5,0.375,1.0,1.0,0.0,0.0
freq,0.2,3,0.5,0.375,1.0,1.0,0.0,0.0
seq,0.2,3,0.3333333333333333,0.23214285714285715,0.3333333333333333,1.0,0.0,0.0
trans,0.2,3,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.2,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,3,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.2,4,0.5,0.375,1.0,1.0,0.0,0.0
freq,0.2,4,0.5,0.375,1.0,1.0,0.0,0.0
seq,0.2,4,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.2,4,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.2,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,4,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,0,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,0,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.3,0,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,0,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,0,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,1,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,1,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.3,1,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,1,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,1,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,2,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,2,0.25,0.1,1.0,0.0,0.0,0.0
