mode,n_features,chunk_accuracy,chunk_precision,chunk_recall,chunk_f1,chunk_fpr,chunk_tp,chunk_tn,chunk_fp,chunk_fn,session_accuracy,session_precision,session_recall,session_f1,session_fpr,session_tp,session_tn,session_fp,session_fn,recall_bulk_export,recall_project_scan,recall_source_copy
scalars,3,0.8500143389733296,0.7749520153550864,0.9676452965847813,0.8606448174793498,0.25797579757975797,1615,1349,469,54,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9552469135802469,0.9845094664371773,0.9636363636363636
freq,20,0.8680814453685116,0.7855455833726972,0.9964050329538646,0.878499735868991,0.24972497249724973,1663,1364,454,6,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9969135802469136,0.9948364888123924,0.9977272727272727
seq,429,0.861198738170347,0.7754532775453278,0.9994008388256441,0.8732984293193717,0.26567656765676567,1668,1335,483,1,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9984567901234568,1.0,1.0
trans,117,0.8683682248351018,0.785646836638338,0.9970041941282205,0.8787958806443095,0.24972497249724973,1664,1364,454,5,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9984567901234568,0.9965576592082617,0.9954545454545455
ctx,8,0.8689417837682822,0.7858490566037736,0.9982025164769323,0.8793877012404329,0.24972497249724973,1666,1364,454,3,1.0,1.0,1.0,1.0,0.0,18,6,0,0,1.0,0.9982788296041308,0.9954545454545455
fusion,577,0.8689417837682822,0.7861189801699717,0.9976033553025764,0.8793240031687352,0.24917491749174916,1665,1365,453,4,1.0,1.0,1.0,1.0,0.0,18,6,0,0,0.9984567901234568,0.9982788296041308,0.9954545454545455
