mode,n_features,chunk_accuracy,session_accuracy,macro_f1,n_sessions,recall_bulk_export,recall_normal,recall_project_scan,recall_source_copy
scalars,3,0.8142857142857143,0.9583333333333334,0.9580419580419581,24,0.8333333333333334,1.0,1.0,1.0
freq,21,0.8428571428571429,1.0,1.0,24,1.0,1.0,1.0,1.0
seq,309,0.8238095238095238,1.0,1.0,24,1.0,1.0,1.0,1.0
trans,95,0.8428571428571429,1.0,1.0,24,1.0,1.0,1.0,1.0
ctx,8,0.8809523809523809,1.0,1.0,24,1.0,1.0,1.0,1.0
fusion,436,0.8785714285714286,1.0,1.0,24,1.0,1.0,1.0,1.0
